,FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,NUMERO ACCIONES,VALOR EFECTIVO,PROCEDENCIA
2645,2023-04-18,CORPORACION FAVORITA C.A.,ACCIONES,1,2.1,2500,5250,Q
2646,2023-04-18,CORPORACION FAVORITA C.A.,ACCIONES,1,2.1,1998,4195.8,Q
2647,2023-04-18,CORPORACION FAVORITA C.A.,ACCIONES,1,2.1,418,877.8,Q
2648,2023-04-18,CORPORACION FAVORITA C.A.,ACCIONES,1,2.11,698,1472.78,Q
2649,2023-04-18,CORPORACION FAVORITA C.A.,ACCIONES,1,2.11,2417,5099.87,Q
2650,2023-04-18,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,104,220.48,Q
2651,2023-04-19,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.9,556,500.4,Q
2652,2023-04-19,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,2347,4975.64,Q
2653,2023-04-19,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.9,1607,1446.3,Q
2654,2023-04-19,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,2418,5126.16,Q
2655,2023-04-19,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
2656,2023-04-19,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,18900,40068,Q
2658,2023-04-19,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,4622,9798.64,Q
2660,2023-04-19,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,686,1461.18,Q
2662,2023-04-19,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,11700,24804,Q
2664,2023-04-19,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,1530,3258.9,Q
2666,2023-04-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.99,7162,7090.38,G
2668,2023-04-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.99,5000,4950,Q
2670,2023-04-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,200,200,Q
2672,2023-04-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,300,300,Q
2674,2023-04-19,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,698,1479.76,G
2675,2023-04-19,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
2679,2023-04-19,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,3,300,Q
2680,2023-04-20,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,640,1376,G
2681,2023-04-20,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,18000,15300,Q
2682,2023-04-20,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,950,2042.5,G
2683,2023-04-20,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,16572,14086.2,Q
2684,2023-04-20,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,3332,3165.4,Q
2685,2023-04-20,BANCO BOLIVARIANO C.A.,ACCIONES,1,1,4187,4187,Q
2686,2023-04-20,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,499,474.05,Q
2687,2023-04-20,BANCO BOLIVARIANO C.A.,ACCIONES,1,1,6890,6890,Q
2688,2023-04-20,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,738,1586.7,Q
2689,2023-04-20,BANCO BOLIVARIANO C.A.,ACCIONES,1,0.9,2007,1806.3,G
2690,2023-04-20,CORPORACION FAVORITA C.A.,ACCIONES,1,2.17,1355,2940.35,Q
2691,2023-04-20,BOLSA DE VALORES DE QUITO,ACCIONES,1,2.01,1750,3517.5,Q
2692,2023-04-20,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,461,991.15,Q
2693,2023-04-20,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,906,1947.9,Q
2694,2023-04-20,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,1500,3180,Q
2695,2023-04-20,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,2790,5914.8,Q
2696,2023-04-20,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,35416,75081.92,Q
2697,2023-04-21,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.8,30000,24000,Q
2698,2023-04-21,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,401,850.12,Q
2699,2023-04-21,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,G
2700,2023-04-21,CORPORACION FAVORITA C.A.,ACCIONES,1,2.1,2743,5760.3,Q
2702,2023-04-21,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,1500,3180,Q
2704,2023-04-21,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,31320,67024.8,Q
2706,2023-04-21,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,6000,12720,Q
2708,2023-04-21,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,4644,9938.16,Q
2710,2023-04-21,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,881,1894.15,Q
2712,2023-04-21,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.99,5000,4950,Q
2714,2023-04-21,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,815,774.25,Q
2716,2023-04-21,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.98,2452,2402.96,G
2718,2023-04-21,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,578,1236.92,G
2720,2023-04-21,CERVECERIA NACIONAL CN S A,ACCIONES,1,60,15,900,G
2722,2023-04-21,CERVECERIA NACIONAL CN S A,ACCIONES,1,60,14,840,G
2724,2023-04-21,CERVECERIA NACIONAL CN S A,ACCIONES,1,60,8,480,G
2726,2023-04-21,CERVECERIA NACIONAL CN S A,ACCIONES,1,60,6,360,G
2739,2023-04-21,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,G
2744,2023-04-21,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,6,600,G
2745,2023-04-24,CERVECERIA NACIONAL CN S A,ACCIONES,1,60,134,8040,Q
2746,2023-04-24,BANCO BOLIVARIANO C.A.,ACCIONES,1,0.95,6000,5700,G
2747,2023-04-24,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.98,2756,2700.88,Q
2748,2023-04-24,HOLCIM ECUADOR S.A.,ACCIONES,3,50,33,1650,Q
2749,2023-04-24,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.98,3244,3179.12,Q
2750,2023-04-24,BOLSA DE VALORES DE QUITO,ACCIONES,1,2.01,750,1507.5,Q
2751,2023-04-24,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.99,12894,12765.06,Q
2752,2023-04-24,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,G
2753,2023-04-24,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,8000,8000,Q
2755,2023-04-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.1,311,653.1,Q
2757,2023-04-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,1301,2771.13,Q
2759,2023-04-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.1,2355,4945.5,Q
2761,2023-04-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.1,2645,5554.5,Q
2765,2023-04-24,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,G
2767,2023-04-25,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,2000,4240,Q
2768,2023-04-25,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,1000,850,G
2769,2023-04-25,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,3500,3500,Q
2770,2023-04-25,HOLCIM ECUADOR S.A.,ACCIONES,3,57.99,8,463.92,Q
2771,2023-04-25,BEVERAGE BRAND PATENTS SA,ACCIONES,1,49,250,12250,Q
2772,2023-04-25,CERVECERIA NACIONAL CN S A,ACCIONES,1,60,117,7020,Q
2773,2023-04-25,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,4644,9891.72,G
2774,2023-04-25,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,5005,10610.6,G
2775,2023-04-25,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,1493,3180.09,G
2776,2023-04-26,CORPORACION FAVORITA C.A.,ACCIONES,1,2.29,437,1000.73,G
2777,2023-04-26,CORPORACION FAVORITA C.A.,ACCIONES,1,2.05,684,1402.2,G
2778,2023-04-26,CERVECERIA NACIONAL CN S A,ACCIONES,1,60,17,1020,Q
2779,2023-04-26,BEVERAGE BRAND PATENTS SA,ACCIONES,1,49,53,2597,Q
2780,2023-04-26,CORPORACION FAVORITA C.A.,ACCIONES,1,2.29,1563,3579.27,Q
2781,2023-04-27,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.86,75,64.5,Q
2782,2023-04-27,BEVERAGE BRAND PATENTS SA,ACCIONES,1,49,100,4900,Q
2783,2023-04-27,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,175,148.75,Q
2784,2023-04-27,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,2339,2339,G
2785,2023-04-27,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,3495,2970.75,Q
2786,2023-04-27,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.02,3500,3570,Q
2787,2023-04-27,BOLSA DE VALORES DE QUITO,ACCIONES,1,2.05,8000,16400,Q
2788,2023-04-27,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,G
2807,2023-04-28,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,481,481,Q
2808,2023-04-28,BRIKAPITAL SA,ACCIONES,1000,750,10,7500,G
2809,2023-04-28,CORPORACION FAVORITA C.A.,ACCIONES,1,2,414,828,Q
2810,2023-04-28,CORPORACION FAVORITA C.A.,ACCIONES,1,2.05,863,1769.15,Q
2811,2023-05-02,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,34211,29079.35,Q
2812,2023-05-02,CORPORACION FAVORITA C.A.,ACCIONES,1,2,250,500,Q
2813,2023-05-02,BANCO BOLIVARIANO C.A.,ACCIONES,1,0.95,8000,7600,G
2814,2023-05-02,CORPORACION FAVORITA C.A.,ACCIONES,1,2.01,7993,16065.93,Q
2815,2023-05-02,HOLCIM ECUADOR S.A.,ACCIONES,3,50,19,950,Q
2816,2023-05-02,CORPORACION FAVORITA C.A.,ACCIONES,1,2.01,2007,4034.07,Q
2817,2023-05-02,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
2818,2023-05-02,CORPORACION FAVORITA C.A.,ACCIONES,1,2.04,1045,2131.8,G
2820,2023-05-02,CORPORACION FAVORITA C.A.,ACCIONES,1,2.04,162,330.48,G
2822,2023-05-02,CORPORACION FAVORITA C.A.,ACCIONES,1,2.04,100,204,G
2823,2023-05-02,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
2824,2023-05-02,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,1000,1000,Q
2827,2023-05-02,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,6,600,Q
2828,2023-05-02,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,10,1000,Q
2829,2023-05-02,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,20,2000,Q
2848,2023-05-03,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.98,1020,999.6,Q
2849,2023-05-03,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.83,30559,25363.97,G
2850,2023-05-03,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,200,200,G
2851,2023-05-03,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.9,1608,1447.2,Q
2852,2023-05-03,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.99,500,495,G
2853,2023-05-03,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,51606,43865.1,Q
2854,2023-05-03,BEVERAGE BRAND PATENTS SA,ACCIONES,1,45,300,13500,Q
2855,2023-05-03,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
2856,2023-05-03,BEVERAGE BRAND PATENTS SA,ACCIONES,1,49,12,588,Q
2858,2023-05-03,CORPORACION FAVORITA C.A.,ACCIONES,1,2,750,1500,G
2860,2023-05-03,CORPORACION FAVORITA C.A.,ACCIONES,1,2.03,120,243.6,G
2862,2023-05-03,CORPORACION FAVORITA C.A.,ACCIONES,1,2.01,235,472.35,G
2864,2023-05-03,CORPORACION FAVORITA C.A.,ACCIONES,1,2,862,1724,Q
2866,2023-05-03,CERVECERIA NACIONAL CN S A,ACCIONES,1,57,166,9462,Q
2870,2023-05-03,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
2871,2023-05-03,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,3,300,Q
2872,2023-05-03,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,4,400,Q
2888,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,1.99,137,272.63,Q
2889,2023-05-04,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.86,3390,2915.4,Q
2890,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2,5500,11000,Q
2891,2023-05-04,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,3000,2550,Q
2892,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,1.99,165,328.35,Q
2893,2023-05-04,BANCO BOLIVARIANO C.A.,ACCIONES,1,0.95,12000,11400,G
2894,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,1.99,1000,1990,Q
2895,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,1.99,500,995,Q
2896,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2,196,392,Q
2897,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,1.99,204,405.96,Q
2898,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,1.98,1817,3597.66,Q
2899,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2,150,300,G
2900,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2,100,200,G
2901,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,1.94,7993,15506.42,Q
2902,2023-05-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2,500,1000,Q
2903,2023-05-04,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,2284,2169.8,Q
2904,2023-05-04,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,1669,1585.55,Q
2905,2023-05-04,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,2399,2279.05,Q
2906,2023-05-05,RETRATOREC S.A.,ACCIONES,1,3.91,500,1955,G
2907,2023-05-05,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,14701,13965.95,Q
2908,2023-05-05,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.86,1360,1169.6,Q
2909,2023-05-05,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,2040,1938,Q
2910,2023-05-05,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,3728,3168.8,Q
2911,2023-05-05,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,1039,987.05,Q
2912,2023-05-05,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
2913,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,204,408,Q
2915,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.94,8000,15520,Q
2917,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,770,1540,Q
2919,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,606,1212,Q
2921,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,527,1054,Q
2923,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,259,518,Q
2925,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,300,600,Q
2927,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.94,1200,2328,G
2929,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,597,1194,G
2931,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,245,490,G
2935,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,244,488,G
2937,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.99,1000,1990,G
2939,2023-05-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2,800,1600,G
2945,2023-05-05,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
2950,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,2,445,890,G
2951,2023-05-08,BANCO BOLIVARIANO C.A.,ACCIONES,1,1,5600,5600,Q
2952,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.99,12305,24486.95,Q
2953,2023-05-08,HOLCIM ECUADOR S.A.,ACCIONES,3,58,34,1972,Q
2954,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,2,240,480,Q
2955,2023-05-08,BANCO PICHINCHA C.A.,ACCIONES,100,80,38,3040,Q
2957,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.94,1000,1940,Q
2958,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,1428,2798.88,Q
2959,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,4693,9151.35,Q
2960,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,5138,10070.48,Q
2961,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,10000,19600,Q
2962,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1500,2925,Q
2963,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,500,975,Q
2964,2023-05-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1425,2778.75,Q
2965,2023-05-08,CERVECERIA NACIONAL CN S A,ACCIONES,1,59,34,2006,Q
2966,2023-05-08,CERVECERIA NACIONAL CN S A,ACCIONES,1,58.99,2,117.98,Q
2967,2023-05-08,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,1,1.05,3143,3300.15,Q
2968,2023-05-08,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES PREFERIDAS,1,1.05,5638,5919.9,Q
2969,2023-05-08,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES PREFERIDAS,2500,2625,2,5250,Q
2970,2023-05-09,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.86,50000,43000,Q
2971,2023-05-09,CERVECERIA NACIONAL CN S A,ACCIONES,1,55,50,2750,Q
2972,2023-05-09,BANCO PICHINCHA C.A.,ACCIONES,100,85,13,1105,Q
2973,2023-05-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2,1000,2000,Q
2974,2023-05-09,BANCO PICHINCHA C.A.,ACCIONES,100,85,27,2295,Q
2976,2023-05-09,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
2977,2023-05-09,CORPORACION FAVORITA C.A.,ACCIONES,1,2,500,1000,Q
2979,2023-05-09,CORPORACION FAVORITA C.A.,ACCIONES,1,1.99,1000,1990,Q
2981,2023-05-09,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,3091,6027.45,Q
2983,2023-05-09,CORPORACION FAVORITA C.A.,ACCIONES,1,1.99,500,995,Q
2985,2023-05-09,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1651,3219.45,Q
2987,2023-05-09,CORPORACION FAVORITA C.A.,ACCIONES,1,1.9,1170,2223,Q
2989,2023-05-09,CORPORACION FAVORITA C.A.,ACCIONES,1,1.9,2645,5025.5,Q
3020,2023-05-09,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
3029,2023-05-09,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,10,1000,Q
3032,2023-05-10,CORPORACION FAVORITA C.A.,ACCIONES,1,1.94,6500,12610,Q
3033,2023-05-10,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
3034,2023-05-10,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1000,1950,Q
3036,2023-05-10,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,4350,8482.5,Q
3038,2023-05-10,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1318,2570.1,Q
3040,2023-05-10,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,8632,16832.4,Q
3042,2023-05-10,CORPORACION FAVORITA C.A.,ACCIONES,1,2,500,1000,Q
3046,2023-05-10,CORPORACION FAVORITA C.A.,ACCIONES,1,1.94,300000,582000,Q
3048,2023-05-10,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1270,2476.5,Q
3050,2023-05-10,BEVERAGE BRAND PATENTS SA,ACCIONES,1,48.99,50,2449.5,Q
3052,2023-05-10,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,523,496.85,G
3054,2023-05-10,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,312,296.4,G
3056,2023-05-10,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,234,222.3,G
3058,2023-05-10,CERVECERIA NACIONAL CN S A,ACCIONES,1,56,60,3360,Q
3060,2023-05-10,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.65,1788,1162.2,Q
3077,2023-05-10,BANCO PICHINCHA C.A.,ACCIONES,100,80,18,1440,Q
3078,2023-05-10,BANCO PICHINCHA C.A.,ACCIONES,100,80,6,480,Q
3080,2023-05-10,BANCO PICHINCHA C.A.,ACCIONES,100,80,64,5120,Q
3081,2023-05-10,BANCO PICHINCHA C.A.,ACCIONES,100,80,31,2480,Q
3082,2023-05-10,BANCO PICHINCHA C.A.,ACCIONES,100,82,454,37228,Q
3083,2023-05-10,BANCO PICHINCHA C.A.,ACCIONES,100,85,400,34000,Q
3084,2023-05-11,TECATEAK SA,ACCIONES,1,3.97,975,3870.75,Q
3085,2023-05-11,RETRATOREC S.A.,ACCIONES,1,3.91,500,1955,G
3086,2023-05-11,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,454,431.3,G
3087,2023-05-11,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
3088,2023-05-11,BEVERAGE BRAND PATENTS SA,ACCIONES,1,49,20,980,Q
3090,2023-05-11,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.9,50000,45000,Q
3092,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.93,1434,2767.62,Q
3094,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,2,500,1000,Q
3096,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,2000,3900,Q
3098,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.94,5465,10602.1,Q
3100,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1020,1989,Q
3102,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1200,2340,Q
3104,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,4693,9198.28,Q
3106,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,14032,27502.72,Q
3108,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,400,784,Q
3110,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,4293,8414.28,Q
3112,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,459,899.64,Q
3114,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,738,1446.48,Q
3116,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,50,98,Q
3118,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,306,596.7,G
3120,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,794,1548.3,G
3122,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,2528,4929.6,G
3124,2023-05-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.94,762,1478.28,G
3127,2023-05-11,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,2,196,Q
3131,2023-05-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,252,493.92,Q
3132,2023-05-12,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.9,554,498.6,Q
3133,2023-05-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,204,399.84,Q
3134,2023-05-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,2000,3920,Q
3135,2023-05-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,250,490,Q
3136,2023-05-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,47,92.12,Q
3137,2023-05-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,20000,39200,Q
3138,2023-05-12,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.9,5000,4500,G
3139,2023-05-12,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.65,466,302.9,Q
3140,2023-05-15,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,2090,1776.5,Q
3141,2023-05-15,CERVECERIA NACIONAL CN S A,ACCIONES,1,57.5,52,2990,Q
3142,2023-05-15,BANCO BOLIVARIANO C.A.,ACCIONES,1,0.95,627,595.65,G
3143,2023-05-15,CERVECERIA NACIONAL CN S A,ACCIONES,1,57,33,1881,Q
3144,2023-05-15,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
3145,2023-05-15,BANCO GUAYAQUIL S.A.,ACCIONES,1,0.95,2100,1995,G
3147,2023-05-15,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,54,54,G
3149,2023-05-15,BANCO GUAYAQUIL S.A.,ACCIONES,1,1,500,500,Q
3151,2023-05-15,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1600,3120,Q
3153,2023-05-15,CORPORACION FAVORITA C.A.,ACCIONES,1,1.95,1418,2765.1,Q
3155,2023-05-15,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,488,956.48,Q
3157,2023-05-15,CORPORACION FAVORITA C.A.,ACCIONES,1,1.93,1400,2702,Q
3159,2023-05-15,CORPORACION FAVORITA C.A.,ACCIONES,1,1.93,2000,3860,Q
3161,2023-05-15,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,500,980,Q
3175,2023-05-15,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,2,196,Q
3178,2023-05-15,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,3,294,Q
3179,2023-05-15,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,4,392,Q
3180,2023-05-15,TECAFORTUNA SA,ACCIONES,1,3.24,6600,21384,G
3181,2023-05-16,CORPORACION FAVORITA C.A.,ACCIONES,1,1.96,5,9.8,Q
