,FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,NUMERO ACCIONES,VALOR EFECTIVO,PROCEDENCIA
1102,2023-02-16,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,10816,22929.92,Q
1104,2023-02-16,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.12,2000,2240,Q
1106,2023-02-16,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.12,2394,2681.28,Q
1108,2023-02-16,BEVERAGE BRAND PATENTS SA,ACCIONES,1,49,200,9800,Q
1110,2023-02-16,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,29904,63396.48,G
1112,2023-02-16,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,1,1,285,285,Q
1114,2023-02-16,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,1,1,47,47,Q
1115,2023-02-16,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,2,196,Q
1116,2023-02-16,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES PREFERIDAS,1,1,5203,5203,Q
1118,2023-02-16,CERVECERIA NACIONAL CN S A,ACCIONES,1,55,5,275,Q
1122,2023-02-17,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,1,1,5000,5000,Q
1123,2023-02-17,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.9,620,558,Q
1124,2023-02-17,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES PREFERIDAS,2500,2500,1,2500,Q
1125,2023-02-17,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.87,10000,8700,Q
1126,2023-02-17,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.11,1780,1975.8,G
1127,2023-02-17,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
1128,2023-02-17,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,564,1195.68,Q
1130,2023-02-17,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,6434,13640.08,Q
1132,2023-02-17,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,10000,21200,Q
1134,2023-02-17,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,277,587.24,Q
1138,2023-02-17,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,4000,8480,Q
1142,2023-02-17,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,25000,53000,Q
1144,2023-02-17,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,1871,3966.52,Q
1146,2023-02-17,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,1000,2120,Q
1148,2023-02-17,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,127,269.24,Q
1163,2023-02-17,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
1168,2023-02-22,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,137,290.44,Q
1169,2023-02-22,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
1170,2023-02-22,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,136,288.32,Q
1172,2023-02-22,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,4514,9569.68,Q
1174,2023-02-22,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,5000,10600,Q
1176,2023-02-22,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,5187,10996.44,Q
1178,2023-02-22,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,467,999.38,Q
1179,2023-02-22,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,G
1180,2023-02-22,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,667,1420.71,Q
1182,2023-02-22,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,994,2107.28,G
1198,2023-02-22,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,2,196,Q
1203,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,25000,53000,G
1204,2023-02-23,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.85,11524,9795.4,Q
1205,2023-02-23,CERVECERIA NACIONAL CN S A,ACCIONES,1,55,2,110,Q
1206,2023-02-23,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.15,2000,2300,Q
1207,2023-02-23,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.65,15000,9750,Q
1208,2023-02-23,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
1209,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,2500,5325,Q
1211,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,512,1085.44,Q
1213,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,300,639,Q
1215,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,500,1070,Q
1217,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,6244,13362.16,Q
1219,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.12,5000,10600,Q
1221,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.16,93,200.88,Q
1223,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,234,500.76,Q
1225,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,850,1819,Q
1227,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,173,370.22,Q
